Date,AAPL,BA,BAC,CAT,CRM,FB,ICLN,MSFT,NVDA,SKYY,TAN,TSLA
2/18/2016,-0.019138114,0.01051695,-0.02580795,-0.017094309,-0.028598496,-0.016581544,0,-0.004397337,0.082542526,0.000374132,0.00044836,-0.01138781
2/19/2016,-0.002287967,-0.020711255,-0.009027426,-0.010643287,0.007105951,0.010574973,-0.009697082,-0.007114814,0.013227627,0.007448685,-0.0194707,-0.001139889
2/22/2016,0.008707951,0.019179062,0.033241787,0.028480777,0.029180633,0.024466378,0.013309309,0.015890079,0.034864665,0.011803753,0.020815222,0.064846086
2/23/2016,-0.022864482,-0.0041829,-0.030771779,-0.022992811,-0.017024339,-0.015991353,-0.010876257,-0.028317451,0.002534853,-0.016639319,-0.015798234,-0.00298631
2/24/2016,0.014780847,-0.011269336,-0.002470008,0.001518745,-0.006059675,0.013374959,0.016867917,0.003510763,0.00693788,0.008908798,0.02560217,0.010050277
2/25/2016,0.006844336,0.010584757,0.015542123,0.008916006,0.104688471,0.011072478,0.002386724,0.014305538,0.002197632,0.018671667,0.004424741,0.046019659
2/26/2016,0.001548969,0.011405472,0.030378319,0.00599971,0.004312254,-0.001388968,0.001191039,-0.015474451,-0.006606945,0.001812048,0.020538288,0.015406523
2/29/2016,-0.002272519,0.000169194,-0.014274871,0.012335421,-0.028662778,-0.009309321,0.001189876,-0.008220707,-0.006515674,-0.006902981,0.014172447,0.008318796
3/1/2016,0.038946277,0.014949551,0.052131749,0.02032419,0.032956408,0.026761785,0.025823048,0.032865908,0.043369512,0.02342014,-0.005988051,-0.029504125
3/2/2016,0.00218589,-0.002587424,0.020339489,0.004188527,0.005838446,0.00118303,0.010374748,0.007012022,0.005785186,0.003909775,0.0275033,0.010622182
3/3/2016,0.007416564,-0.00033454,0.006689106,0.033589462,0.005239731,-0.003370796,0.01592763,-0.011396028,-0.008843192,0.003894687,-0.004601612,0.038538397
3/4/2016,0.014767277,0.012132385,0.002958462,0.015077277,0.003665512,-0.010919065,0.010106662,-0.006131596,-0.003067326,0.001765003,0.01125716,0.02671668
3/7/2016,-0.011128355,0.015002285,-0.000738795,0.026151446,-0.008053731,-0.024847122,0.008898809,-0.01940668,-0.006472756,-0.002825668,0.022951863,0.020919683
3/8/2016,-0.008280195,-0.004485319,-0.035355222,-0.041507682,-0.009550328,0.001889795,-0.026937575,0.012076581,-0.018412093,-0.0099541,-0.02336647,-0.013189978
3/9/2016,0.000890589,0.004159696,0.006106881,0.001949794,0.017322614,0.014805385,0.015801665,0.022778488,-0.000630172,0.008538128,0.01031573,0.029760025
3/10/2016,0.000494051,0.000650867,0.009844753,-0.007121599,-0.004797582,-0.001768864,0,-0.015063881,-0.001576864,-0.006753106,-0.016139468,-0.017106003
3/11/2016,0.010716543,0.013652955,0.038437833,0.019978518,0.013068413,0.019287304,0.018858182,0.019407086,0.016901643,0.020473504,0.0239087,0.011243714
3/14/2016,0.002539158,0.013627325,-0.010936977,-0.000961756,0.00820309,0.004377533,0.006571424,0.001882435,0.00248,-0.001048663,-0.000814853,0.036204091
3/15/2016,0.019894733,0.000158374,-0.005144969,-0.003995396,-0.007226328,0.007072924,-0.016510956,0.007868113,-0.004965923,-0.006667926,-0.010243872,0.014718033
3/16/2016,0.013203579,0.009530362,-0.019346225,0.025890602,0.014263295,0.013551943,0.017602162,0.01408209,0.029431823,0.013986663,0.005749511,0.016308589
3/17/2016,-0.0016056,0.024239223,0.006739272,0.020767392,-0.000137534,-0.010394392,0.016225309,0.005687643,-0.0084952,0.007265023,0.002862407,0.019852972
3/18/2016,0.001133623,0.02463673,0.028688899,-0.005681642,-0.000963056,0.003865697,0.004282706,-0.021637479,0.029718741,0.003784471,-0.003681768,0.027706933
3/21/2016,-9.44E-05,0.014083613,0.003619339,0.005550146,-0.005521084,0.003582642,-0.004282706,0.006893294,0.002953013,0.001372591,0.003273258,0.023692381
3/22/2016,0.007618744,-0.00546156,-0.00579711,-0.004490603,0.008270185,0.003569852,-0.005379162,0.00389151,-0.001770761,0.002739811,-0.037033513,-0.017268117
3/23/2016,-0.005543854,-0.016867402,-0.010226652,-0.025063355,-0.014796643,0.002580196,-0.022914234,-0.001851226,0.016989445,-0.012538068,-0.043315567,-0.05105966
3/24/2016,-0.004343715,-0.005585419,0.004395663,0.021616284,0.009152798,0.004521504,-0.007756263,0.00443723,0.001450895,0.00242335,-0.011128515,0.022961958
3/28/2016,-0.00455284,-0.006302038,-0.004395663,0.000398279,-0.006787276,0.005645242,0.01106188,-0.012436616,0.010099866,0.002072715,-0.001792171,0.010960545
3/29/2016,0.023395634,-0.00312759,-0.014793111,0.009119213,0.00485278,0.021320887,0.015284126,0.021617567,0.015950214,0.013367699,0.002239712,-0.000564677
3/30/2016,0.017308548,-0.017729571,0.004460871,0.006556489,0.027286821,-0.012476357,0.012917429,0.006195508,0.010400488,0.00407749,0.011123563,-0.014179106
3/31/2016,-0.005216255,-0.012836906,0.002963078,0.000392159,-0.006345815,-0.005244754,-0.001070074,0.00326436,-0.003642003,0.002709031,0.002651431,0.012613495
4/1/2016,0.009133376,0.000157625,0.002954324,0.003260803,0.02540925,0.017032034,-0.006444715,0.00613728,0.014489206,0.004050296,-0.00088303,0.033467754
4/4/2016,0.010221196,-0.004895439,-0.003694213,-0.014032223,-0.000528344,-0.030709683,-0.016295818,-0.00252241,-0.009729383,-0.002698396,-0.020978142,0.038801294
4/5/2016,-0.011859122,0.005446733,-0.023971073,-0.006359104,-0.014773684,-0.002936353,-0.014341355,-0.015820092,-0.00139747,-0.010183319,-0.007697715,0.033757195
4/6/2016,0.010418184,0.007059908,0.006046715,-0.000266018,0.013319323,0.013190098,0.005540445,0.010211531,0.00139747,0.014564038,0.026464866,0.03820845
4/7/2016,-0.022050997,-0.007296092,-0.032162015,-0.014057595,-0.003446022,-0.000615788,-0.016713684,-0.01204604,-0.010388808,-0.01627133,-0.014715889,-0.031459504
4/8/2016,0.001105097,0.006905103,0.002331896,0.002424367,-0.006259609,-0.026844276,0.012283952,-0.000734884,0.006470743,0,0.008053707,-0.028113088
4/11/2016,0.003307532,0.000234625,0.006963238,0.003758415,-0.00926112,-0.01493516,0.004429732,-0.002023243,0.006150396,-0.004453011,0.004002614,-0.000599988
4/12/2016,0.012941115,0.012122396,0.022866881,0.019505991,0.001482086,0.014754391,0.020777022,0.006240844,-0.001115434,-0.001374192,0.02281791,-0.00843823
4/13/2016,0.01438342,0.012815958,0.038437833,0.039043743,0.022368132,-0.000904473,0.015037975,0.012727174,0.02480153,0.018055389,0.013787541,0.026716013
4/14/2016,0.000535404,-0.002213705,0.025064002,-0.001011249,0.002629911,0.002981653,-0.01071827,0.000180703,0.002718147,-0.001689475,0.003417364,-0.010545262
4/15/2016,-0.020275514,0.002137472,-0.009950224,0.001516823,0.00209886,-0.010885421,-0.005402641,0.005224889,0.007841029,-0.003387471,-0.011149424,0.010466726
4/18/2016,-0.021810971,0.006385841,0.012069383,0.001009717,0.012501779,0.007360636,0.003245178,0.014450261,-0.004318436,0.005414472,0.016677732,-0.002478403
4/19/2016,-0.005317394,0.00536523,0.019567594,0.014282605,-0.014075486,0.016521917,0.008602178,-0.001240566,-0.018013714,-0.006772666,0.005498001,-0.025976562
4/20/2016,0.002055808,-0.016030527,0.032678155,-0.008118471,-0.00065651,0.001157023,0.002139003,-0.014288374,0.003848488,0.009132364,0.018801539,0.010455729
4/21/2016,-0.010887012,0.001301048,-0.002011387,-0.00393333,0.013177856,0.009032243,-0.003210337,0.003411969,-0.001098301,0.005037924,0.002067292,-0.006743463
4/22/2016,-0.002740355,0.002368271,0.013995554,-0.004331821,-0.008722286,-0.025715746,-0.002145774,-0.074411482,-0.003852296,-0.004701307,0.004944454,0.021752093
4/25/2016,-0.005693793,-0.002291746,-0.009976677,-0.019728761,0.000392167,-0.004169308,-0.015151904,0.006353003,0.004950598,-0.004385021,-0.016159359,-0.007635015
4/26/2016,-0.006971473,0.018864753,0.008652297,0.011137277,-0.003928803,-0.01224539,0.006521657,-0.012940577,0.000822509,-0.001014832,0.016159359,0.007595627
4/27/2016,-0.064621476,0.0284128,-0.004649786,0.013177562,-0.006846592,0.001194553,0.017186423,-0.009767841,0.022497364,0.001690683,0.018730266,-0.00898647
4/28/2016,-0.031043105,-0.016772524,-0.015431164,-0.011890525,-0.004104132,0.069525412,-0.019355471,-0.020627503,-0.030202091,-0.010528038,-0.024914514,-0.015064969
4/29/2016,-0.011560975,0,-0.01567331,-0.000386027,0.005556382,0.007255364,-0.001086464,-0.000601386,-0.018681912,-0.001708726,-0.015000316,-0.028458108
5/2/2016,-0.001067339,-0.005877985,0.014319972,0.001542878,0.018948583,0.008384532,-0.01423134,0.014729822,0.013141485,0.005116645,-0.012249305,0.004310355
